ticker,company,sector,revenue_usd,cogs_usd,energy_cost_usd,scope1_tco2e,measured_intensity_tco2e_per_usd_mm,grid_intensity_kgco2e_per_mwh,carbon_intensity_score,energy_mix_score,resource_waste_score,input_efficiency_score,n_indicators_available,environmental_score
HRL,Hormel Foods,Consumer Staples,12106160000.0,10214344000.0,,58585.7,4.83932972965829,339.0806,46.15384615384615,29.411764705882348,,12.5,3,32.54521913890392
HSIC,Henry Schein,Health Care,13184000000.0,9079000000.0,,,,210.982,,73.6842105263158,,12.765957446808507,2,40.45607248294818
HST,Host Hotels & Resorts,Real Estate,6114000000.0,,,,,235.8781,,50.0,,,1,50.0
HSY,Hershey Company (The),Consumer Staples,11692576000.0,7769885000.0,,,,292.9175,,44.11764705882353,,37.5,2,39.484685318469616
HUBB,Hubbell Incorporated,Industrials,5844600000.0,3780500000.0,,,,244.1532,,65.38461538461539,,35.18518518518518,2,43.426135049623824
HUM,Humana,Health Care,129664000000.0,,,,,786.9867,,0.0,,,1,0.0
HWM,Howmet Aerospace,Industrials,8252000000.0,,,124137.6,15.043334949103249,292.9175,26.66666666666667,57.692307692307686,,,2,32.48858030330715
IBKR,Interactive Brokers,Financials,2440000000.0,,,,,244.1532,,41.42857142857142,,,1,41.42857142857142
IBM,IBM,Information Technology,67535000000.0,28239000000.0,,289772.7,4.290704079366255,210.982,70.0,44.927536231884055,,53.84615384615385,3,54.678929765886274
ICE,Intercontinental Exchange,Financials,12640000000.0,,,,,323.7885,,24.28571428571429,,,1,24.28571428571429
IDXX,Idexx Laboratories,Health Care,4303702000.0,1644123000.0,,,,141.4408,,98.24561403508771,,42.553191489361694,2,67.86792901014624
IEX,IDEX Corporation,Industrials,3457500000.0,1918700000.0,,,,213.9618,,80.76923076923077,,70.37037037037037,2,73.20805593689876
IFF,International Flavors & Fragrances,Materials,10890000000.0,6952000000.0,,307088.2,28.199100091827365,210.982,70.58823529411764,95.0,,72.72727272727273,3,74.68678380443086
INCY,Incyte,Health Care,5141242000.0,372130000.0,,,,318.9636,,40.35087719298246,,95.74468085106383,2,70.56567918829957
INTC,Intel,Information Technology,52853000000.0,34478000000.0,,790767.5,14.961638885209922,178.4824,19.999999999999996,49.27536231884058,,13.846153846153841,3,31.63545150501672
INTU,Intuit,Information Technology,18831000000.0,,,,,178.4824,,49.27536231884058,,,1,49.275362318840585
INVH,Invitation Homes,Real Estate,2729296000.0,,,,,348.5027,,30.000000000000004,,,1,30.000000000000004
IP,International Paper,Materials,23634000000.0,16637000000.0,,5404387.7,228.67003892696962,298.1312,23.529411764705888,55.00000000000001,,54.54545454545454,3,36.88693659281895
IQV,IQVIA,Health Care,16310000000.0,,,,,283.0228,,52.63157894736843,,,1,52.63157894736843
IR,Ingersoll Rand,Industrials,7650900000.0,4314600000.0,,,,283.0228,,61.53846153846154,,66.66666666666667,2,65.26726008591294
IRM,Iron Mountain,Real Estate,6901737000.0,,,,,123.7645,,93.33333333333333,,,1,93.33333333333333
ISRG,Intuitive Surgical,Health Care,10064700000.0,3422400000.0,,,,178.4824,,82.45614035087719,,53.191489361702125,2,66.4936034476908
IT,Gartner,Information Technology,6497226000.0,2053575000.0,,,,244.1532,,33.333333333333336,,67.6923076923077,2,45.6043956043956
ITW,Illinois Tool Works,Industrials,16044000000.0,8969000000.0,,17549.7,1.093848167539267,213.9618,86.66666666666667,80.76923076923077,,68.5185185185185,3,79.87952079005127
IVZ,Invesco,Financials,6377100000.0,,,,,323.7885,,24.28571428571429,,,1,24.28571428571429
J,Jacobs Solutions,Industrials,12029783000.0,9044849000.0,,,,348.5027,,28.205128205128204,,16.666666666666664,2,19.81533147336256
JBHT,J.B. Hunt,Industrials,11999096000.0,,633324000.0,,,450.6045,,16.666666666666664,,70.0,2,55.4461715601612
JBL,Jabil,Information Technology,29802000000.0,27156000000.0,,,,356.816,,8.695652173913048,,0.0,2,5.590062111801245
JCI,Johnson Controls,Industrials,23596000000.0,15004000000.0,,56175.1,2.380704356670622,,60.0,,,42.592592592592595,2,53.36785654432713
JKHY,Jack Henry & Associates,Financials,2375288000.0,1360747000.0,,,,655.0494,,0.0,,9.999999999999998,2,4.285714285714285
JNJ,Johnson & Johnson,Health Care,94193000000.0,30256000000.0,,,,212.4217,,64.91228070175438,,59.57446808510638,2,62.000746547219116
JPM,JPMorgan Chase,Financials,182447000000.0,,,,,210.982,,60.0,,,1,60.0
KDP,Keurig Dr Pepper,Consumer Staples,16603000000.0,7604000000.0,,,,373.0301,,20.588235294117652,,71.875,2,56.4936887818605
KEY,KeyCorp,Financials,7513000000.0,,,,,482.5511,,2.857142857142858,,,1,2.857142857142858
KEYS,Keysight Technologies,Information Technology,5375000000.0,2038000000.0,,,,178.4824,,49.27536231884058,,61.53846153846154,2,53.65504061156235
KHC,Kraft Heinz,Consumer Staples,24942000000.0,16633000000.0,,45412.3,1.8207160612621283,292.9175,84.61538461538461,44.11764705882353,,31.25,3,61.044066115276586
KIM,Kimco Realty,Real Estate,2140116000.0,,,,,210.982,,63.33333333333333,,,1,63.33333333333333
KKR,KKR & Co.,Financials,19464307000.0,,,33792.5,1.736126541777213,210.982,50.0,60.0,,,2,55.0
KLAC,KLA Corporation,Information Technology,12156162000.0,4751867000.0,,,,178.4824,,49.27536231884058,,58.46153846153845,2,52.55613951266125
KMB,Kimberly-Clark,Consumer Staples,16447000000.0,10524000000.0,,1030421.3,62.651018422812676,348.5027,7.692307692307687,23.529411764705888,,43.75,3,21.972990904640433
KMI,Kinder Morgan,Energy,16937000000.0,9255000000.0,,9724424.7,574.1527248036842,348.5027,0.0,4.761904761904767,,60.0,3,13.537414965986397
KO,Coca-Cola Company (The),Consumer Staples,47941000000.0,18397000000.0,,,,323.7885,,38.23529411764706,,87.5,2,72.72512040694843
KR,Kroger,Consumer Staples,147642000000.0,,,,,482.5511,,5.882352941176472,,,1,5.882352941176472
KVUE,Kenvue,Consumer Staples,15124000000.0,6332000000.0,,,,212.4217,,70.58823529411764,,78.125,2,75.86466394285405
L,Loews Corporation,Financials,18454000000.0,,,1938481.4,105.04396878725478,210.982,25.0,60.0,,,2,42.5
LDOS,Leidos,Industrials,17174000000.0,14075000000.0,,,,243.5116,,71.7948717948718,,5.555555555555558,2,23.631223890291253
LEN,Lennar,Consumer Discretionary,34186934000.0,,,,,356.816,,15.909090909090907,,,1,15.909090909090907
LH,Labcorp,Health Care,13951700000.0,9939200000.0,,,,283.0228,,52.63157894736843,,8.510638297872342,2,28.565611320370568
LHX,L3Harris,Industrials,21325000000.0,15801000000.0,,,,356.816,,24.35897435897436,,20.370370370370374,2,21.458797710956606
LII,Lennox International,Industrials,5195300000.0,3460500000.0,,,,348.5027,,28.205128205128204,,29.629629629629626,2,29.240905579420254
LIN,Linde plc,Materials,33986000000.0,,,8787322.3,258.557120579062,,17.647058823529417,,,,1,17.647058823529417
LITE,Lumentum,Information Technology,1645000000.0,,,,,178.4824,,49.27536231884058,,,1,49.275362318840585
LLY,Lilly (Eli),Health Care,65179000000.0,11052000000.0,,,,660.9703,,1.7543859649122862,,87.2340425531915,2,48.37965319488276
LMT,Lockheed Martin,Industrials,75048000000.0,67429000000.0,,95794.1,1.276437746508901,235.8781,80.0,79.48717948717949,,1.851851851851849,3,53.88646396564053
LNT,Alliant Energy,Utilities,4362000000.0,625000000.0,,13023321.5,2985.6307886290692,524.8046,6.896551724137934,9.677419354838712,,60.0,3,14.403503893214685
LOW,Lowe's,Consumer Discretionary,86286000000.0,57401000000.0,,,,283.0228,,54.54545454545454,,28.125,2,36.04870577904157
LRCX,Lam Research,Information Technology,18435591000.0,9456532000.0,,,,178.4824,,49.27536231884058,,40.0,2,45.96273291925466
LULU,Lululemon Athletica,Consumer Discretionary,11102600000.0,4818468000.0,,,,,,,,71.875,1,71.875
LUV,Southwest Airlines,Industrials,28063000000.0,,5240000000.0,,,348.5027,,28.205128205128204,,9.999999999999998,2,14.967893361675744
LVS,Las Vegas Sands,Consumer Discretionary,13017000000.0,,,,,291.374,,47.72727272727273,,,1,47.72727272727273
LYB,LyondellBasell,Materials,30153000000.0,27576000000.0,,6109912.0,202.63031870792292,,29.411764705882348,,,4.545454545454541,2,21.122994652406412
LYV,Live Nation Entertainment,Communication Services,25201406000.0,,,,,178.4824,,52.38095238095239,,,1,52.38095238095239
MA,Mastercard,Financials,32791000000.0,,,,,210.982,,60.0,,,1,60.0
MAA,Mid-America Apartment Communities,Real Estate,2209126000.0,,,,,298.1312,,46.666666666666664,,,1,46.666666666666664
MAR,Marriott International,Consumer Discretionary,26186000000.0,,,,,235.8781,,63.63636363636363,,,1,63.63636363636363
MAS,Masco,Industrials,7562000000.0,4883000000.0,,,,359.7763,,23.076923076923073,,37.03703703703704,2,33.22754134498521
MCD,McDonald's,Consumer Discretionary,26885000000.0,,,,,213.9618,,65.90909090909092,,,1,65.90909090909092
MCHP,Microchip Technology,Information Technology,4713100000.0,1992000000.0,,472938.2,100.34546264666567,311.4764,0.0,24.63768115942029,,52.3076923076923,3,24.163879598662206
MCK,McKesson Corporation,Health Care,403430000000.0,388880000000.0,,,,348.5027,,33.333333333333336,,2.127659574468088,2,16.312056737588655
MCO,Moody's Corporation,Financials,7718000000.0,1973000000.0,,,,210.982,,60.0,,80.0,2,68.57142857142857
MDLZ,Mondelez International,Consumer Staples,38537000000.0,27602000000.0,,13247.4,0.3437579469081662,213.9618,92.3076923076923,61.76470588235294,,25.0,3,65.51042230295533
MDT,Medtronic,Health Care,36364000000.0,12721000000.0,,,,,,,,48.93617021276596,1,48.93617021276596
MET,MetLife,Financials,77084000000.0,,,,,210.982,,60.0,,,1,60.0
META,Meta Platforms,Communication Services,200966000000.0,36175000000.0,,,,178.4824,,52.38095238095239,,62.5,2,55.994897959183675
MGM,MGM Resorts,Consumer Discretionary,17537683000.0,,,110103.336,6.278100476556681,291.374,0.0,47.72727272727273,,,2,11.01138776298012
MKC,McCormick & Company,Consumer Staples,6840300000.0,4248100000.0,,,,235.8781,,58.82352941176471,,50.0,2,52.64624709129282
MLM,Martin Marietta Materials,Materials,6150000000.0,4261000000.0,,3999044.2,650.2510894308944,283.0228,5.882352941176472,70.0,,59.09090909090908,3,30.244461420932005
MMM,3M,Industrials,24948000000.0,14991000000.0,,1007143.7,40.36971701138368,339.0806,13.33333333333333,39.743589743589745,,61.111111111111114,3,32.56315515222879
MNST,Monster Beverage,Consumer Staples,8294343000.0,3662148000.0,,,,178.4824,,91.17647058823529,,75.0,2,79.8514530007035
MO,Altria,Consumer Staples,23279000000.0,5597000000.0,,66467.2,2.8552429228059624,243.5116,69.23076923076923,52.94117647058824,,96.875,3,76.11944745046507
MOS,Mosaic Company (The),Materials,12052400000.0,10150500000.0,,1584500.0,131.46759151704225,356.816,52.94117647058824,35.0,,22.72727272727273,3,41.74560733384263
MPC,Marathon Petroleum,Energy,132699000000.0,119446000000.0,,15864357.7,119.55144876751143,482.5511,40.0,0.0,,9.999999999999998,3,27.857142857142858
MPWR,Monolithic Power Systems,Information Technology,2790459000.0,1250718000.0,,,,120.2561,,95.65217391304348,,47.692307692307686,2,78.52365026278069
MRK,Merck & Co.,Health Care,65011000000.0,16382000000.0,,365529.7,5.622582332220701,212.4217,0.0,64.91228070175438,,76.59574468085107,3,39.206793579693915
MRNA,Moderna,Health Care,1944000000.0,868000000.0,,,,373.0301,,15.789473684210531,,29.78723404255319,2,23.42461569785198
MRSH,Marsh McLennan,Financials,26981000000.0,,,,,210.982,,60.0,,,1,60.0
MRVL,Marvell Technology,Information Technology,8194600000.0,4013900000.0,,,,178.4824,,49.27536231884058,,43.07692307692308,2,47.061634018155765
MS,Morgan Stanley,Financials,70645000000.0,,,24686.4,0.34944298959586667,210.982,75.0,60.0,,,2,67.5
MSCI,MSCI,Financials,3134459000.0,,,,,210.982,,60.0,,,1,60.0
