ticker,company,sector,sub_industry,has_climate_oversight_committee,has_third_party_assurance,assurance_level,emissions_boundary_stated,has_clawback_policy,has_psu_plan,performance_period_years,independent_director_count,board_size,lead_independent_director,buybacks_usd,dividends_paid_usd
BNY,BNY Mellon,Financials,Asset Management & Custody Banks,,,,,1.0,1.0,3.0,,,1.0,2604000000.0,1262000000.0
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,,,,,1.0,1.0,2.0,,,1.0,24300000.0,331000000.0
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,,,,,0.0,0.0,,,,1.0,9171000000.0,
BRO,Brown & Brown,Financials,Insurance Brokers,,,,,1.0,1.0,3.0,,,1.0,0.0,135000000.0
BSX,Boston Scientific,Health Care,Health Care Equipment,,,,,1.0,1.0,3.0,,,1.0,,28000000.0
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,,,,,,,,,,,,4268447000.0
BXP,"BXP, Inc.",Real Estate,Office REITs,,,,1.0,1.0,0.0,3.0,,,1.0,,687809000.0
C,Citigroup,Financials,Diversified Banks,1.0,,,,1.0,1.0,3.0,,,1.0,1977000000.0,5212000000.0
CAH,Cardinal Health,Health Care,Health Care Distributors,,,,,1.0,1.0,3.0,,,1.0,2000000000.0,525000000.0
CARR,Carrier Global,Industrials,Building Products,,,,,1.0,1.0,3.0,,,1.0,62000000.0,620000000.0
CASY,Casey's,Consumer Staples,Food Retail,,,,,1.0,1.0,3.0,10.0,11.0,1.0,104898000.0,62918000.0
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,,1.0,limited,,1.0,1.0,3.0,,,1.0,4975000000.0,2563000000.0
CB,Chubb Limited,Financials,Property & Casualty Insurance,1.0,1.0,reasonable,,1.0,1.0,3.0,,,1.0,2411000000.0,1394000000.0
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,,,,,1.0,1.0,3.0,,,1.0,83900000.0,223500000.0
CBRE,CBRE Group,Real Estate,Real Estate Services,,,,,1.0,1.0,3.0,,,1.0,665000000.0,
CCI,Crown Castle,Real Estate,Telecom Tower REITs,,1.0,limited,,1.0,1.0,3.0,,,1.0,-30000000.0,-2723000000.0
CCL,Carnival Corporation,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",,,,,1.0,1.0,3.0,9.0,11.0,0.0,,
CDNS,Cadence Design Systems,Information Technology,Application Software,,,,,1.0,1.0,5.0,,,1.0,700134000.0,
CDW,CDW Corporation,Information Technology,Technology Distributors,,,,,1.0,1.0,3.0,8.0,9.0,1.0,500000000.0,321500000.0
CEG,Constellation Energy,Utilities,Electric Utilities,1.0,,,1.0,1.0,1.0,3.0,,,1.0,992000000.0,366000000.0
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,,,,1.0,1.0,0.0,3.0,,,1.0,580000000.0,311000000.0
CFG,Citizens Financial Group,Financials,Regional Banks,,,,1.0,1.0,1.0,3.0,,,1.0,906000000.0,808000000.0
CHD,Church & Dwight,Consumer Staples,Household Products,1.0,,,,1.0,1.0,3.0,10.0,11.0,1.0,300100000.0,266500000.0
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,,,,,1.0,1.0,,9.0,10.0,1.0,63884000.0,291569000.0
CHTR,Charter Communications,Communication Services,Cable & Satellite,,,,,1.0,0.0,,12.0,13.0,1.0,3215000000.0,
CI,Cigna,Health Care,Health Care Services,,1.0,limited,,1.0,0.0,3.0,,,1.0,2284000000.0,362000000.0
CIEN,Ciena,Information Technology,Communications Equipment,,1.0,reasonable,,1.0,1.0,1.0,8.0,9.0,1.0,242201000.0,
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,,,,,1.0,1.0,3.0,,,1.0,67000000.0,454000000.0
