ticker,company,sector,environmental_score,transition_score,governance_score,n_pillars_available,data_confidence_pct,final_score
BF.B,Brown–Forman,Consumer Staples,44.244141480508105,74.26634554688226,47.95160820707117,3,89.99999999999999,55.48736507815384
BG,Bunge Global,Consumer Staples,0.6972430283175676,48.34914296785146,82.27042541771576,3,90.96153846153845,43.772270471294924
BIIB,Biogen,Health Care,46.2026875699888,74.9062723013603,73.75111876075731,3,89.99999999999999,64.95335954403546
BKNG,Booking Holdings,Consumer Discretionary,37.49895458727105,93.68717965497672,46.75739662770934,3,90.5,59.314510289985705
BKR,Baker Hughes,Energy,3.129251700680276,69.495993162345,48.778840020644616,3,87.64285714285714,40.46802829455663
BLDR,Builders FirstSource,Industrials,19.74207383784056,71.63760167017311,56.82837432686628,3,84.66666666666667,49.40268327829332
BLK,BlackRock,Financials,43.43181818181818,74.30898676103732,41.6740932335653,3,88.80952380952381,53.13829939214027
BMY,Bristol Myers Squibb,Health Care,61.34658454647256,95.56430038275158,72.68727821077651,3,92.5,76.5327210466669
BNY,BNY Mellon,Financials,44.72727272727272,62.36849743875557,53.24848459308871,3,84.10364145658265,53.448084919705664
BR,Broadridge Financial Solutions,Industrials,35.28086466796422,98.31930302974746,46.053766084747146,3,89.30952380952381,59.88464459415294
BRK.B,Berkshire Hathaway,Financials,9.386363636363638,70.63412487405957,54.50508934458741,3,86.42857142857143,44.84185928500354
BRO,Brown & Brown,Financials,10.64935064935065,62.3606399710647,51.69975350551393,3,84.10364145658265,41.56991470864309
BSX,Boston Scientific,Health Care,33.48284638094268,93.6618373261081,64.27079747561675,3,89.30952380952381,63.805160394222504
BX,Blackstone Inc.,Financials,54.56818181818181,62.44521154750248,27.0201676892498,3,85.29411764705883,48.01118701831136
BXP,"BXP, Inc.",Real Estate,13.2,61.37723581242065,73.69879518072288,3,75.38461538461537,49.425343664381174
C,Citigroup,Financials,44.72727272727272,57.34219927579593,72.89883821340568,3,77.88461538461537,58.32277007215811
CAH,Cardinal Health,Health Care,5.8267331772370925,73.6427258789609,42.17196074282893,3,89.30952380952381,40.54713993300897
CARR,Carrier Global,Industrials,12.59096132840282,87.5492992599307,52.60790149948836,3,93.47619047619047,50.916054029273965
CASY,Casey's,Consumer Staples,32.85589137100307,62.74314165523055,67.43467860565143,3,85.29411764705883,54.34457054396168
CAT,Caterpillar Inc.,Industrials,54.2967384218374,76.12835554527945,76.03953931623613,3,86.66666666666666,68.82154442778432
CB,Chubb Limited,Financials,,22.61653252214563,79.69879518072288,2,72.72727272727272,51.15766385143425
CBOE,Cboe Global Markets,Financials,36.10018552875695,72.5799614642413,51.06743561925426,3,83.47619047619048,53.24919420408416
CBRE,CBRE Group,Real Estate,23.12898395721925,99.3185369033813,54.40252163075089,3,89.30952380952381,58.95001416378381
CCI,Crown Castle,Real Estate,39.44983957219251,74.90809872410298,79.69879518072288,3,74.66666666666666,64.6855778256728
CCL,Carnival Corporation,Consumer Discretionary,28.320230827130555,74.92114558520177,73.49397590361446,3,84.66666666666667,58.91178410531559
CDNS,Cadence Design Systems,Information Technology,38.434782608695656,93.48188111869528,49.95888407926538,3,89.30952380952381,60.62518260221877
CDW,CDW Corporation,Information Technology,24.55422838031533,74.15935251882833,48.78015683027958,3,90.5,49.16457924314107
CEG,Constellation Energy,Utilities,69.3969489909423,55.88075103457149,75.85075635004162,3,85.83333333333333,67.0428187918518
CF,CF Industries,Materials,34.22077922077922,37.78941898030407,58.460677241339454,3,82.5,43.49029181414092
CFG,Citizens Financial Group,Financials,7.454545454545452,57.8997554707325,79.69879518072288,3,75.38461538461537,48.35103203533361
CHD,Church & Dwight,Consumer Staples,46.13259839565965,74.93028736929088,70.79256804317575,3,87.99999999999999,63.95181793604209
CHRW,C.H. Robinson,Industrials,25.83490671376657,69.73252641945354,46.37841346186472,3,82.28571428571428,47.3152821983616
CHTR,Charter Communications,Communication Services,11.142857142857146,74.9964571435746,57.93210569711319,3,82.28571428571428,48.02380666118164
CI,Cigna,Health Care,23.7799721741491,60.8871056886783,73.69879518072288,3,75.38461538461537,52.78862434785009
CIEN,Ciena,Information Technology,30.503583373148597,80.82582216322902,81.48659956323195,3,87.99999999999999,64.27200169986985
CINF,Cincinnati Financial,Financials,2.12987012987013,72.33477199451372,46.61778542742397,3,83.47619047619048,40.36080918393594
CL,Colgate-Palmolive,Consumer Staples,63.09113689019727,87.6368959986618,40.44191720151635,3,93.47619047619047,63.7233166967918
CLX,Clorox,Consumer Staples,52.742638753649565,74.40462740932617,63.16217812426176,3,87.16666666666666,63.436481429079166
CMCSA,Comcast,Communication Services,7.428571428571429,74.9955338443682,45.45260142332309,3,90.5,42.62556889875424
CME,CME Group,Financials,38.33766233766233,73.50682663641481,40.14735215514831,3,83.47619047619048,50.663947043075154
CMG,Chipotle Mexican Grill,Consumer Discretionary,49.49862005519779,74.89720141798352,71.8035013957946,3,83.0,65.39977428965864
CMI,Cummins,Industrials,10.548199321947166,74.94161748225662,43.1629209653123,3,94.66666666666666,42.88424592317203
CMS,CMS Energy,Utilities,30.619670003707828,0.0,70.92254733218587,3,92.39926739926739,33.847405778631234
CNC,Centene Corporation,Health Care,46.39125861074349,63.18737033146794,65.18847785898596,3,84.10364145658265,58.2557022670658
CNP,CenterPoint Energy,Utilities,58.87374860956619,37.8906511580727,57.801578519388784,3,92.39926739926739,51.521992762342556
COF,Capital One,Financials,36.20779220779221,70.02696876771557,52.432730461999206,3,84.66666666666667,52.889163812502325
COHR,Coherent Corp.,Information Technology,22.872431915910173,79.31927444529495,73.01778542742397,3,87.64285714285714,58.40316392954303
COIN,Coinbase,Financials,44.72727272727272,68.01841344832675,57.0011673491109,3,89.4139194139194,56.58228450823679
COO,Cooper Companies (The),Health Care,53.57311072652618,77.01700216846643,66.15281288329537,3,87.64285714285714,65.58097525942932
COP,ConocoPhillips,Energy,58.53741496598639,74.05341320427745,41.56213879064136,3,94.16666666666667,58.05098898696839
COR,Cencora,Health Care,17.00159489633174,73.39616663737243,53.12152466201727,3,89.30952380952381,47.83976206524048
COST,Costco,Consumer Staples,28.19703741378056,69.88357254131472,36.66451988221826,3,81.09523809523809,44.91504327910451
CPAY,Corpay,Financials,18.103896103896105,73.23580098482196,41.718344234968114,3,83.47619047619048,44.35268044122873
CPRT,Copart,Industrials,18.334449925898856,74.07959137497622,43.2679288582903,3,81.09523809523809,45.227323386388456
CPT,Camden Property Trust,Real Estate,18.465882352941176,24.1459433131741,54.45381526104417,3,85.52188552188552,32.35521364238648
CRH,CRH plc,Materials,48.701298701298704,65.8691853391212,61.39066678335618,3,83.47619047619048,58.65371694125869
CRL,Charles River Laboratories,Health Care,11.052631578947372,74.81556631157395,57.65850584183473,3,89.30952380952381,47.84223457745202
CRM,Salesforce,Information Technology,53.98566650740564,81.86694973138823,74.34416529865248,3,81.33333333333333,70.06559384581544
CRWD,CrowdStrike,Information Technology,32.0382226469183,74.17796411685018,83.08232931726909,3,95.83333333333333,63.09950536034585
CSCO,Cisco,Information Technology,48.18346870520783,82.13652028527977,72.68343934877394,3,81.33333333333333,67.6678094464205
CSGP,CoStar Group,Real Estate,59.40791443850267,93.05482993466684,67.59286215493945,3,83.0,73.35186884270298
CSX,CSX Corporation,Industrials,27.991332338445677,74.08242286321337,56.80056305460389,3,83.47619047619048,52.95810608542097
CTAS,Cintas,Industrials,48.05646284910642,73.74142412816848,27.83402583361419,3,81.09523809523809,49.877304270296364
CTSH,Cognizant,Information Technology,33.913043478260875,74.5779054330794,43.47087773640381,3,83.47619047619048,50.65394221591469
CTVA,Corteva,Materials,79.75553857906799,77.82843472824656,45.44130591281531,3,94.16666666666667,67.67509307337662
CVNA,Carvana,Consumer Discretionary,15.065861001923558,74.79647294267156,64.14457831325299,3,81.09523809523809,51.3356374192827
CVS,CVS Health,Health Care,15.699345074485054,92.94278315344276,60.06861526329154,3,89.30952380952381,56.236914497073116
CVX,Chevron Corporation,Energy,45.68027210884354,61.97014180057419,58.891403375213365,3,90.23109243697478,55.513939094877024
D,Dominion Energy,Utilities,50.360718258382335,6.965319652087361,64.48630887185104,3,84.70085470085469,40.604115594106915
DAL,Delta Air Lines,Industrials,22.95105264226404,73.7266908778893,47.7941769350024,3,89.99999999999999,48.157306818385244
DASH,DoorDash,Consumer Discretionary,49.49862005519779,80.04469454980874,67.77969018932873,3,85.26190476190476,65.77433493144508
DD,DuPont,Industrials,29.675266691007653,73.72951842633475,30.646298605321466,3,87.64285714285714,44.68369457422129
DDOG,Datadog,Information Technology,52.49307214524606,50.43956600508079,73.01778542742397,3,87.64285714285714,58.650141192583604
DE,Deere & Company,Industrials,78.84560570071258,77.27024426852489,80.47217972825595,3,95.83333333333333,78.86267656583114
DECK,Deckers Brands,Consumer Discretionary,60.0,75.54647942294284,64.53952824962309,3,90.49999999999999,66.6953358908553
DELL,Dell Technologies,Information Technology,8.82943143812709,93.13890428221345,58.69415706303474,3,94.66666666666666,53.55416426112509
DG,Dollar General,Consumer Staples,25.32545483434843,71.81840458414545,36.04129148102852,3,83.47619047619048,44.3950502998408
DGX,Quest Diagnostics,Health Care,30.85608605653398,74.88992008291271,38.09297771105906,3,84.66666666666667,47.94632795016858
DHI,D. R. Horton,Consumer Discretionary,15.29459730701681,74.86421547442353,63.987106428227,3,78.0,51.38197306988911
DHR,Danaher Corporation,Health Care,45.306050425871256,91.29792491307748,58.65979223014506,3,93.47619047619047,65.08792252303127
DIS,Walt Disney Company (The),Communication Services,28.28571428571429,74.96855251065085,58.41667847304922,3,94.64285714285714,53.89031508980479
DLR,Digital Realty,Real Estate,23.760000000000005,61.34901180244231,37.9227576974565,3,85.38461538461537,41.010589833299605
DLTR,Dollar Tree,Consumer Staples,38.490461906220354,72.84935475191617,46.88813162525461,3,83.47619047619048,52.74264942779705
DOC,Healthpeak Properties,Real Estate,15.76128342245989,63.18386551098291,43.47388521118432,3,92.68207282913164,40.8063447148757
DOV,Dover Corporation,Industrials,51.02028907188921,74.52501359847182,62.914683810657415,3,87.99999999999999,62.819995493672806
DOW,Dow Inc.,Materials,11.00840336134454,10.440819151803922,81.8220937415573,3,90.25641025641025,34.42377208490192
DPZ,Domino's,Consumer Discretionary,24.934138998076445,74.90452599259177,51.07808333713373,3,83.47619047619048,50.30558277593398
DRI,Darden Restaurants,Consumer Discretionary,10.499707284435894,74.87877912403054,56.42232232517096,3,84.66666666666667,47.266936244545796
DTE,DTE Energy,Utilities,39.24996027331956,0.0,25.507362784471223,3,93.58974358974356,21.585774352596925
DUK,Duke Energy,Utilities,35.53631018592087,5.350493336473691,45.17212867880621,3,92.39926739926739,28.68631073373359
DVA,DaVita,Health Care,6.140350877192985,74.89313812164275,49.0992697674967,3,89.30952380952381,43.37758625544414
DVN,Devon Energy,Energy,82.48361162646876,74.26912623886763,72.87318299906923,3,82.5,76.54197362146854
DXCM,Dexcom,Health Care,48.81489022362483,81.33791312900512,62.273709320295765,3,87.64285714285714,64.14217089097524
EBAY,eBay Inc.,Consumer Discretionary,67.00091996320148,95.43436801865246,58.6200775177884,3,94.66666666666666,73.68512183321411
ECHO,EchoStar,Communication Services,0.0,24.929064552725723,60.08517560096232,3,96.42857142857142,28.338080051229348
ECL,Ecolab,Materials,54.7012987012987,80.33792280297934,62.27536080785791,3,87.99999999999999,65.77152743737864
ED,Consolidated Edison,Utilities,75.88074050532337,44.29883484157722,54.44919322799454,3,98.80952380952381,58.20958952496504
EFX,Equifax,Industrials,28.335058976389146,73.82889512083665,51.53842982333182,3,90.5,51.23412797351921
EG,Everest Group,Financials,,22.61653252214563,48.67603748326639,2,78.28282828282829,35.64628500270601
EIX,Edison International,Utilities,81.18703321150484,48.17982441581651,59.3886915957985,3,92.39926739926739,62.91851640770662
